"n","tau","se_method","true_W","true_P","cov_W","mcse_W","cov_P","mcse_P","nsim","B"
500,0,"analytic",0,0.456521739130435,0.887,0.0100115433375679,0.93,0.00806845710157773,1000,1
1000,0,"analytic",0,0.456521739130435,0.866,0.0107723720693262,0.923,0.00843036179532053,1000,1
2000,0,"analytic",0,0.456521739130435,0.855,0.0111344061359374,0.935,0.00779583221984671,1000,1
4000,0,"analytic",0,0.456521739130435,0.857,0.0110702755159933,0.927,0.00822623850857729,1000,1
500,0.2,"analytic",0.115384615384615,0.403846153846154,0.886,0.0100500746265886,0.929,0.00812151463706125,1000,1
1000,0.2,"analytic",0.115384615384615,0.403846153846154,0.875,0.0104582503316759,0.92,0.00857904423581089,1000,1
2000,0.2,"analytic",0.115384615384615,0.403846153846154,0.855,0.0111344061359374,0.929,0.00812151463706125,1000,1
4000,0.2,"analytic",0.115384615384615,0.403846153846154,0.861,0.0109397897603199,0.923,0.00843036179532053,1000,1
500,0.8,"analytic",0.342857142857143,0.3,0.923,0.00843036179532053,0.922,0.00848033018225116,1000,1
1000,0.8,"analytic",0.342857142857143,0.3,0.901,0.00944452222190196,0.904,0.00931579304192616,1000,1
2000,0.8,"analytic",0.342857142857143,0.3,0.895,0.00969407035254025,0.924,0.00837997613361756,1000,1
4000,0.8,"analytic",0.342857142857143,0.3,0.906,0.00922843432007835,0.91,0.00904986187739902,1000,1
