"cell","regime","n","tau","binY","s","nrep","nfail","R_part","trW","oe_snr_med","pct_oe_regular","se_ratio_an","se_ratio_med","se_ratio_rms","cv_seW","covW_an","bias_cf","bias_or","kurt_cf","empSD","sd_or","seW_an","seW_or","V_cf","V_or","F_fold","F_fold_med","N_nuis","frac_irreducible","frac_fold","frac_fold_med","frac_nuis","F_tail","gap","R_rem","R_formula","R_plugin","share_F","share_N","share_R","V_avg_ltv","V_avg_direct","se_ratio_or","covW_or","cv_seW_fold","mad_cf","mad_or","seW_an_med","elapsed_s"
1,"manuscript",800,0,FALSE,1,250,0,10,-6.03382078600629e-17,8.26085254883211,1,0.804900589402726,0.64840193570971,0.992301258486952,0.722457131085863,0.884,-0.0173112211693502,-0.00631877731893873,6.57373884611644,0.11712429209724,0.0562913492051035,0.116222582447485,0.0568268691042094,0.0137180997992797,0.0031687159953309,0.0147582490795714,0.0072082284740905,-0.00420886527562264,0.230987967845028,1.07582313115599,0.525453858738438,-0.306811099001018,2.04741693921315,0.000210411128517241,-0.0103389726754315,-6.05770568560416e-05,-0.0102783956185755,70.1400595280878,-20.0030545213191,-49.1370050067688,-0.00104014928029174,0.00224411891023723,1.0095133605193,0.94,0.375525179453217,0.0869312705222388,0.0510616501966101,0.0759436177144802,120.5
2,"manuscript",3000,0,FALSE,1,250,0,10,-6.03382078600629e-17,17.0047030627765,1,0.543862567279398,0.465574026083272,0.629131160803768,0.582671206159094,0.828,-0.00773726732389904,-0.000657700713088987,19.9938619985785,0.0718325142372961,0.0268453318825288,0.0451920730655633,0.0287066674416762,0.00515991010165135,0.000720671843883116,0.00304845755913151,0.00154780283893715,0.00139078069863672,0.139667519333811,0.590796641622865,0.299967016565231,0.269535839043324,1.96953867924472,0.00311758663368813,-0.0013216516240801,-0.000103400911723879,-0.00121825071235622,0.97782609348859,0.446108115684154,-0.423934209172744,0.00211145254251984,0.000443556774630546,1.06933553912808,0.968,0.325190329801201,0.0389350044318728,0.0263944110191595,0.0334433528571419,216.9
3,"manuscript",800,0.8,FALSE,1,250,0,10,0.342857142857143,9.74898234891233,1,0.793561093437324,0.672032746964624,0.883426097244077,0.490173845727221,0.904,-0.000182934330542339,-0.0027597953465891,6.79081958956391,0.0861423911083054,0.0495409921333864,0.0761004363840832,0.050020704733549,0.00742051154585626,0.00245430990156025,0.0053297765609991,0.00270158261401534,-0.000363574916703088,0.330746726340016,0.718249210726629,0.364069592415627,-0.0489959370666453,1.97283493510402,0.00162923512800837,-0.00333696651628764,-4.77610004806389e-05,-0.003289205515807,3.27133663482593,-0.223156811716633,-2.0481798231093,0.00209073498485716,0.00154315686239215,1.00968314479595,0.96,0.275546289462829,0.0676302430229525,0.0516685984800622,0.0578905077266155,119.1
4,"manuscript",3000,0.8,FALSE,1,250,0,10,0.342857142857143,19.5219746622392,1,0.731975362886447,0.644827074132437,0.81598026841318,0.493634432259337,0.88,0.0015280305374929,-0.0012689351120751,6.7785632895554,0.0460311827850228,0.022709344083878,0.0375605368842991,0.0245562938134051,0.00211886978858818,0.000515714308719965,0.0015315897684424,0.00076175660708072,7.15657114258193e-05,0.243391222762957,0.722833359884236,0.359510816182945,0.0337754173528068,2.0106025391915,0.000708075857551389,-0.000895079622316826,-8.7297257130311e-05,-0.000807782365186515,2.16303063027571,0.1010706842531,-1.26410131452881,0.000587280020145785,0.000436471252374962,1.0813299460656,0.96,0.246968136167289,0.0390204316728662,0.0216275960950477,0.0296821529141217,217.2
5,"manuscript",800,0,TRUE,1,250,0,10,-0.0334037752228635,4.47280276278441,0.96,1.35008879431778,0.287314483792797,14.4597489654472,10.6848252029996,0.932,0.0571682118021106,0.00401848613669053,130.313879080064,0.56718634101059,0.126466204012225,8.20137210764368,0.128814928536487,0.321700345428981,0.0159937007572616,0.111113618271216,0.0360022117450551,0.194593026400504,0.0497161441836014,0.345394774516166,0.111912257032385,0.604889081300232,3.08629978230371,-66.9408041026068,-67.2465107472785,-0.000599585056598781,-67.2459111622219,-0.00165987875049874,-0.00290694187213873,1.00456682062264,0.210586727157765,0.0107530359252364,1.01857195400627,0.972,0.460834046541729,0.16869612219039,0.128220069217726,0.162960850781783,127
6,"manuscript",3000,0,TRUE,1,250,0,10,-0.0334037752228635,8.69102609525909,1,0.763088606814779,0.654085231801915,0.919413124656597,0.673421023050868,0.856,-0.00188807525915689,-0.00412574406853206,10.2954531134045,0.125916867743112,0.0605602034487501,0.115769620818666,0.0592158035688562,0.0158550575822363,0.003667538241754,0.0226456856582313,0.0071093881042785,-0.010458166317749,0.231316614445037,1.42829412890957,0.448398756510587,-0.659610743354607,3.18532134215642,0.00245245247773863,-0.00973506686274364,0.000161026849448645,-0.00989609371219229,9.23389377114963,-4.26437063008547,-3.96952314106416,-0.00679062807599497,0.00194057406761811,0.977800604962768,0.944,0.353793378069955,0.110960076167824,0.0612206046074893,0.0823603636255243,255.8
7,"manuscript",800,0.8,TRUE,1,250,0,10,0.216606714008674,5.34320429154351,0.984,0.70675001548019,0.535228730664777,0.995997498505611,0.994980171101355,0.888,0.036634079381899,-0.00193499793217766,11.3867393828785,0.249236848804341,0.100773673568744,0.248239277944545,0.10692497459574,0.0621190068019182,0.0101553332845399,1.66613083362178,0.0211310422704572,-1.6141671601044,0.163481900425785,26.8215948612097,0.340170317562205,-25.9850767616355,78.8475462921748,0.000496267687488949,-0.0514674058298893,-0.00127761690775977,-0.0501897889221296,3357.32282319687,-3252.61386303807,-103.708960158796,-1.60401182681986,0.0144261807220833,1.0610407540894,0.968,0.411561799398753,0.17083967748088,0.106279819614523,0.133398722220437,123
8,"manuscript",3000,0.8,TRUE,1,250,0,10,0.216606714008674,10.539662758728,1,0.637719293248347,0.508291398509069,0.868849502598442,0.927179060733755,0.86,0.000459202334838843,-0.00277977625300138,17.7381752437222,0.124925846017812,0.0499532982155317,0.108541759174266,0.0503499105807298,0.0156064670032662,0.00249533200260984,0.0127765297075888,0.0046428043131321,0.000334605293067509,0.159890896644808,0.81866893416139,0.297492335206964,0.0214401691938016,2.75189925008268,0.00382515351862185,-0.0092859814820345,-3.97814928776476e-05,-0.00924619998915685,3.34013514631226,0.0874749971311119,-2.42761014344337,0.00282993729567735,0.00213355985849523,1.00793966323278,0.94,0.312280889599196,0.083364479863453,0.0494775253630847,0.0634987329823224,229.6
9,"near-null",800,0.4,FALSE,0.2,250,0,10,0.0495867768595041,1.65817683512652,0.368,4.76589685410131,0.146703813381033,46.9876994353498,9.82798181312912,0.928,0.0501112005729239,0.0211664191672449,90.2833965974605,0.546338887800687,0.324805224825446,25.6712074498219,191.915537057748,0.298486180323291,0.105498434073909,1.12480680297757,0.00797854547123359,-0.931819056728186,0.353444953329642,3.76837145947356,0.0267300330708511,-3.1218164128032,140.978929935666,-658.71240575147,-658.90539349772,-36831.4678657299,36172.5624722322,-0.00170758405816628,0.00141460681261218,1.00029297724555,-0.826320622654277,0.0114595011428513,590.863454123577,0.996,0.964557223996711,0.077375759942847,0.0638784920076937,0.0801499982387129,108.1
10,"near-null",800,0.4,TRUE,0.2,250,0,10,0.0374310406884169,1.02907714628623,0.156,7.53990953799531,0.100954709687165,56.3772907875381,7.4248767943676,0.98,-0.119620499650841,-0.244692168729134,70.3229339340207,1.96713446208855,3.62610654414311,110.901711587353,1207.10350650123,3.86961799193639,13.1486486694775,173.731459595361,0.0393277443648763,-183.010490272902,3.39791904443203,44.8962817408299,0.0101632110577397,-47.2942007852619,4417.52921254545,-12295.3200150126,-12286.040984335,-1457085.7267589,1444799.68577457,-0.0141298851419268,0.0148845650255094,0.999245320116417,-169.861841603424,0.157099880545882,332.892454153325,0.98,1.36787901309807,0.167236128642769,0.108119175249563,0.198591488535766,115.2
