"binY","s","tau","reps","nrep","n","empSD","estimator","med_ratio","mean_ratio","cv","cov","q05","q95","cov_ci"
0,0.2,0.4,1,250,800,0.121,"oracle",0.5064,4.142,8.81,0.988,0.2589,5.549,NA
0,0.2,0.4,1,250,800,0.121,"shipped",0.607,1.657,3.36,0.944,0.2483,4.154,0.944
0,0.5,0.4,1,250,800,0.05728,"oracle",0.903,0.966,0.2528,0.964,0.6688,1.41,NA
0,0.5,0.4,1,250,800,0.05728,"shipped",0.9523,0.9894,0.2863,0.912,0.6561,1.444,0.912
0,1,0,1,250,800,0.06268,"oracle",0.8688,0.8929,0.1768,0.94,0.6729,1.176,NA
0,1,0,1,250,800,0.06268,"shipped",0.8928,0.9413,0.2263,0.936,0.683,1.357,0.936
0,1,0,10,250,800,0.06063,"oracle",0.8981,0.923,0.1768,0.94,0.6955,1.215,NA
0,1,0,10,250,800,0.06063,"shipped",0.9085,0.9584,0.2154,0.936,0.7133,1.383,0.936
1,1,0,1,250,800,0.1211,"oracle",0.9485,1.002,0.3145,0.972,0.6825,1.495,NA
1,1,0,1,250,800,0.1211,"shipped",0.9894,1.047,0.3269,0.972,0.6811,1.576,0.972
1,1,0,10,250,800,0.1219,"oracle",0.9428,0.9955,0.3145,0.972,0.6783,1.486,NA
1,1,0,10,250,800,0.1219,"shipped",0.9709,1.033,0.3156,0.968,0.6642,1.534,0.968
