"threshold","pct_flagged","covW_flagged","covW_unflagged","separation"
1.5,0.685,0.924,0.967,0.044
1.75,0.608,0.923,0.96,0.038
2,0.539,0.923,0.954,0.031
2.25,0.48,0.923,0.951,0.027
2.5,0.43,0.924,0.948,0.024
2.75,0.386,0.925,0.945,0.02
3,0.35,0.927,0.943,0.016
3.25,0.317,0.928,0.942,0.015
3.5,0.287,0.928,0.941,0.013
3.75,0.261,0.928,0.941,0.013
4,0.239,0.927,0.941,0.013
4.25,0.218,0.927,0.94,0.014
4.5,0.2,0.926,0.94,0.014
4.75,0.183,0.927,0.94,0.013
5,0.167,0.927,0.94,0.013
5.25,0.153,0.925,0.94,0.014
5.5,0.141,0.923,0.94,0.017
5.75,0.13,0.921,0.94,0.019
6,0.12,0.921,0.94,0.018
